Tue Mar 24 18:30:51 2026
Port Scan
Source IP: 127.0.0.1
Tue Mar 24 18:30:51 2026 | Port: 25 | Flags: SYN
Tue Mar 24 18:30:51 2026 | Port: 23 | Flags: SYN
Tue Mar 24 18:30:51 2026 | Port: 22 | Flags: SYN
Tue Mar 24 18:30:51 2026 | Port: 21 | Flags: SYN
Tue Mar 24 18:30:51 2026 | Port: 3 | Flags: SYN
Tue Mar 24 18:30:51 2026 | Port: 6 | Flags: SYN
Tue Mar 24 18:30:51 2026 | Port: 11 | Flags: SYN
Tue Mar 24 18:30:51 2026 | Port: 29 | Flags: SYN
Tue Mar 24 18:30:51 2026 | Port: 28 | Flags: SYN
Tue Mar 24 18:30:51 2026 | Port: 27 | Flags: SYN
Tue Mar 24 18:30:51 2026 | Port: 17 | Flags: SYN
Tue Mar 24 18:30:51 2026 | Port: 2 | Flags: SYN
Tue Mar 24 18:30:51 2026 | Port: 16 | Flags: SYN
Tue Mar 24 18:30:51 2026 | Port: 12 | Flags: SYN
Tue Mar 24 18:30:51 2026 | Port: 19 | Flags: SYN
Tue Mar 24 18:30:51 2026 | Port: 14 | Flags: SYN
Tue Mar 24 18:30:51 2026 | Port: 20 | Flags: SYN
Tue Mar 24 18:30:51 2026 | Port: 5 | Flags: SYN
Tue Mar 24 18:30:51 2026 | Port: 13 | Flags: SYN
Tue Mar 24 18:30:51 2026 | Port: 24 | Flags: SYN
Blocking IP: 127.0.0.1 for 30 seconds
